id,label
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,0
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,1
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,1
431,0
432,1
433,1
434,0
435,1
436,0
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,0
547,0
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,0
556,0
557,1
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,1
592,0
593,1
594,1
595,1
596,0
597,0
598,0
599,1
600,0
601,1
602,0
603,1
604,0
605,0
606,1
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,0
622,0
623,0
624,1
625,1
626,0
627,0
628,1
629,1
630,1
631,0
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,0
649,1
650,0
651,1
652,0
653,1
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,1
671,0
672,0
673,1
674,0
675,0
676,1
677,1
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,1
692,0
693,1
694,0
695,0
696,0
697,1
698,0
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,1
710,0
711,0
712,0
713,1
714,1
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,0
744,0
745,1
746,1
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,1
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,1
798,1
799,1
800,1
801,0
802,1
803,1
804,0
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,1
814,0
815,1
816,1
817,1
818,1
819,0
820,0
821,0
822,1
823,0
824,0
825,0
826,0
827,1
828,1
829,0
830,1
831,0
832,1
833,1
834,1
835,0
836,0
837,0
838,1
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,0
853,1
854,0
855,1
856,0
857,1
858,0
859,1
860,1
861,0
862,0
863,1
864,1
865,0
866,1
867,1
868,0
869,1
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,1
881,1
882,1
883,0
884,0
885,1
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,0
894,1
895,1
896,1
897,1
898,0
899,1
900,1
901,0
902,0
903,0
904,0
905,1
906,0
907,1
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,1
930,1
931,1
932,0
933,0
934,1
935,0
936,0
937,0
938,0
939,1
940,1
941,0
942,1
943,0
944,0
945,1
946,0
947,0
948,1
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,1
963,0
964,0
965,0
966,1
967,1
968,1
969,0
970,1
971,0
972,1
973,1
974,1
975,0
976,1
977,1
978,0
979,1
980,0
981,0
982,1
983,0
984,0
985,1
986,1
987,0
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,1
996,0
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,0
1022,1
1023,0
1024,0
1025,1
1026,0
1027,1
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,1
1042,1
1043,1
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,0
1052,0
1053,1
1054,1
1055,1
1056,1
1057,1
1058,0
1059,1
1060,1
1061,0
1062,0
1063,1
1064,0
1065,1
1066,0
1067,0
1068,1
1069,0
1070,1
1071,0
1072,1
1073,1
1074,0
1075,0
1076,1
1077,1
1078,0
1079,0
1080,1
1081,0
1082,0
1083,0
1084,1
1085,0
1086,1
1087,0
1088,0
1089,0
1090,1
1091,0
1092,1
1093,1
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,1
1135,0
1136,0
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,0
1163,0
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,0
1176,1
1177,0
1178,1
1179,0
1180,0
1181,1
1182,1
1183,0
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,1
1196,1
1197,0
1198,1
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,1
1207,1
1208,0
1209,1
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,1
1223,0
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,1
